a	3.422617017890836
b	4.710290708802075
c	6.672152883867063
d	5.302599787377984
e	5.997375672483926
f	5.217786893867676
g	5.510664993726475
h	4.256387678808663
i	2.3342623991576468
j	5.607944732297064
k	4.967264839282193
l	5.090671760585801
m	4.273387138585971
n	4.098044863716559
o	3.0369262388673213
p	6.6402867383512545
q	6.244136870434448
r	6.42558585720159
s	5.2958757504567995
t	3.9871768132063377
u	4.8849567218143966
v	5.893420660910985
w	4.643758402306484
x	3.8349514563106797
y	3.753723745239262
z	5.107142857142857
