a	(24238,80727)
a	(29063,104366)
a	(30574,101950)
a	(4103,14072)
b	(13294,64813)
b	(14676,68162)
b	(16211,75212)
b	(2842,13305)
c	(10926,70107)
c	(12689,85732)
c	(1525,9997)
c	(9553,65641)
d	(10652,54925)
d	(1925,10419)
d	(8479,44673)
d	(9985,54581)
e	(1018,5569)
e	(4572,27150)
e	(4768,29346)
e	(4884,29347)
f	(11012,58521)
f	(11929,61925)
f	(12844,66786)
f	(2243,11190)
g	(6649,38575)
g	(6942,36469)
g	(7074,38843)
g	(854,4697)
h	(17982,78778)
h	(21450,90954)
h	(21978,92546)
h	(3324,13255)
i	(16823,38879)
i	(20895,50415)
i	(24187,54651)
i	(2676,6804)
j	(1123,5580)
j	(113,616)
j	(1335,7711)
j	(903,5575)
k	(2721,14293)
k	(2893,14181)
k	(307,1593)
k	(4221,20311)
l	(10192,51984)
l	(10643,55594)
l	(1922,9738)
l	(8653,42582)
m	(15276,64185)
m	(19199,83839)
m	(20778,88703)
m	(2610,10544)
n	(1352,5463)
n	(7278,30905)
n	(9535,38895)
n	(9608,38552)
o	(12953,37182)
o	(14225,43526)
o	(14492,45872)
o	(2120,6407)
p	(10334,68760)
p	(1348,8585)
p	(7601,50301)
p	(8617,57618)
q	(1031,6014)
q	(135,798)
q	(703,4555)
q	(732,4874)
r	(4209,27600)
r	(4560,29663)
r	(5002,31418)
r	(823,5094)
s	(18246,98644)
s	(22042,117877)
s	(24291,125644)
s	(4379,23028)
t	(36140,142158)
t	(42225,168107)
t	(43342,174855)
t	(7746,31032)
u	(2729,13620)
u	(2857,13462)
u	(3106,14993)
u	(435,2510)
v	(1944,9333)
v	(2042,12715)
v	(2449,15895)
v	(283,1649)
w	(17104,81315)
w	(20042,91772)
w	(21128,97138)
w	(3465,16476)
x	(1,10)
x	(12,27)
x	(28,61)
x	(62,297)
y	(10701,39684)
y	(540,2189)
y	(6888,26314)
y	(8390,31358)
z	(1,7)
z	(14,67)
z	(15,84)
z	(26,128)
