COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
EGY,Egypt,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,9.381,9.397,9.435,9.664,10.271,10.584,11.072,11.222,11.322,11.488,11.741,12.029,12.331,13.748,15.292,16.881,18.986,20.871,23.161,28.332,33.44,33.837,36.939,40.002,44.467,48.485,54.683,62.925,73.001,85.22,100,122.261,145.955
FIN,Finland,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,8.261,8.544,8.823,8.989,9.619,9.925,10.382,11.464,12.265,12.587,13.424,14.692,16.393,18.583,23.372,28.503,32.218,36.432,39.393,43.256,54.643,59.318,63.475,69.413,75.494,78.034,81.161,84.247,88.436,93.856,100,100.781,102.481
FRA,France,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,18.222,18.751,19.418,20.288,20.862,21.341,21.796,22.269,22.363,23.639,22.13,23.723,25.208,27.635,32.196,35.293,39.334,43.026,46.378,50.905,54.558,61.514,69.059,75.373,80.904,83.141,87.893,93.087,95.938,97.749,100,104.172,106.054
GBR,"United Kingdom",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,6.05,6.645,7.428,7.351,7.351,7.488,7.811,8.058,8.278,8.284,8.379,8.504,8.597,8.711,8.861,9.167,9.448,9.458,9.805,10.177,12.54,13.777,15.358,18.006,21.924,26.806,31.217,37.101,42.006,47.592,64.82,69.467,71.048,72.52,74.493,76.681,79.335,81.105,87.04,94.031,100,99.503,104.042
GRC,Greece,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,3.546,4.243,4.46,5.147,6.31,6.779,7.092,7.179,6.739,7.113,7.706,7.739,8.177,8.196,8.378,8.275,8.552,8.671,8.723,9.046,4.837,4.971,5.367,6.456,8.117,9.342,10.958,12.688,14.974,17.627,21.046,25.92,30.867,38.171,44.695,53.872,68.443,71.847,82.118,95.413,100,110.474,128.378
GTM,Guatemala,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,23.461,9.26,9.107,9.397,9.806,9.925,10.087,9.959,9.879,9.997,9.826,9.721,9.971,10.051,9.847,9.706,9.608,9.646,9.825,9.992,10.492,10.359,10.219,11.7,13.533,15.309,17.068,19.876,20.968,22.771,25.054,27.189,28.546,30.412,31.675,37.616,53.211,57.469,64.167,71.167,100,132.991,144.761
HND,Honduras,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,15.6,15.858,16.153,16.512,16.651,16.855,16.907,16.813,16.971,17.189,17.551,18.123,18.764,19.229,20.227,20.405,20.847,21.662,21.927,22.681,23.241,23.653,24.673,26.301,29.38,32.208,34.956,39.221,41.206,45.155,52.009,55.735,58.206,62.259,64.359,67.737,70.374,72.365,77.056,82.508,100,126.028,137.295
IDN,Indonesia,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,0.001,0.001,0.004,0.009,0.02,0.065,0.85,2.246,4.877,5.815,6.556,6.768,7.688,10.22,15.055,16.932,19.38,21.899,24.298,32.748,43.214,48.055,51.7,58.905,63.763,67.154,67.146,77.788,83.723,91.665,100,108.728,116.736
IND,India,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,10.167,10.491,10.032,10.284,9.277,9.134,10.307,10.648,11.051,11.337,11.819,12.061,12.575,13.604,14.768,15.968,18.123,19.688,20.136,20.812,21.144,22.255,24.692,29.157,34.03,33.518,35.497,37.473,38.424,44.509,49.653,54.661,58.551,63.46,68.032,73.712,78.52,85.243,92.093,100,110.685,125.438
IRL,Ireland,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,8.006,8.469,9.312,9.335,9.41,9.589,10.175,10.713,10.918,10.899,10.764,11.09,11.393,11.335,11.751,12.11,12.412,12.382,12.509,13.58,20.403,22.11,28.33,31.14,34.567,42.316,52.732,63.686,71.975,75.292,86.258,98.174,72.305,77.058,83.03,86.453,87.195,88.834,97.39,101.518,100,103.546,104.69
IRN,Iran,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,4.062,3.885,3.849,3.788,3.858,3.802,3.77,3.764,3.754,3.699,3.714,4.151,4.453,5.986,9.352,9.899,11.4,13.595,15.022,19.083,23.551,29.319,33.594,37.712,41.517,43.481,49.201,60.46,70.726,84.35,100,123.587,154.5
IRQ,Iraq,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,4.975,5.042,5.144,5.082,5.236,5.168,5.334,5.901,5.605,5.681,5.985,6.322,8.135,7.687,14.394,16.134,17.083,19.308,20.752,21.634,31.696,35.976,46.995,35.229,39.944,48.459,54.291,60.22,66.465,68.965,100,118.419,143.559
ISL,Iceland,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,0.047,0.058,0.066,0.069,0.069,0.074,0.082,0.088,0.105,0.109,0.157,0.17,0.186,0.193,0.203,0.229,0.24,0.239,0.304,0.385,0.406,0.46,0.506,0.598,0.812,1.317,1.829,2.036,2.982,4.32,6.357,9.391,14.732,25.839,30.396,38.776,48.799,56.046,66.967,84.713,100,105.455,108.455
ISR,Israel,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,0.004,0.006,0.006,0.007,0.008,0.008,0.009,0.009,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.007,0.01,0.013,0.017,0.024,0.038,0.067,0.15,0.339,0.765,1.909,9.267,33.892,50.976,62.086,72.998,86.397,100,120.515,134.17
ITA,Italy,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,3.392,3.732,3.886,3.964,3.901,4.019,4.11,4.225,4.261,4.229,4.266,4.395,4.575,4.957,5.224,5.381,5.442,5.644,5.776,6.024,6.522,6.84,7.169,8.2,10.555,12.825,15.339,18.125,20.271,23.534,40.005,48.318,55.304,61.308,67.907,74.21,78.632,82.996,87.797,93.48,100,107.281,113.204
JAM,Jamaica,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,2.954,3.173,3.186,3.284,3.356,3.504,3.595,3.697,3.697,3.719,4.078,4.148,4.284,4.37,4.607,4.891,5.026,5.985,7.792,9.415,10.456,11.736,14.786,17.245,20.338,22.049,24.079,28.058,37.871,48.561,56.924,63.228,71.832,80.771,100,144.148,233.568
JPN,Japan,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,21.6,23.069,24.154,18.385,19.292,20.638,20.574,21.516,23.691,25.535,26.607,28.074,29.57,31.088,32.634,34.427,36.121,37.722,40.16,42.381,44.836,50.723,60.904,65.422,70.501,75.027,78.782,80.91,84.64,87.767,89.245,90.483,92.564,94.001,95.65,95.672,96.027,97.818,100,101.961,103.608
KEN,Kenya,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.775,19.515,22.112,15.371,15.519,15.967,16.415,17.161,17.632,19.148,22.898,25.957,29.567,34.574,34.53,36.743,40.328,44.388,50.832,56.846,62.618,67.804,73.728,77.711,84.343,91.432,100,111.546,128.378
KOR,"South Korea",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,0.408,0.534,0.882,1.186,1.436,1.414,1.446,1.609,1.822,2.158,2.803,3.638,3.861,4.415,5.128,5.961,6.844,8.047,9.14,10.646,12.085,15.652,19.735,23.931,28.076,34.445,41.221,51.168,59.847,63.952,67.083,69.774,73.711,77.086,80.961,86.388,90.982,100,110.104,116.775
LKA,"Sri Lanka",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,5.967,6.36,5.778,6.068,6.243,6.598,6.704,6.556,6.628,6.753,6.724,6.611,6.766,6.703,6.664,6.749,6.62,6.766,7.689,7.756,7.824,8.05,8.48,9.888,12.286,13.12,14.277,16.576,18.085,20.934,25.152,30.45,42.191,49.256,59.255,59.601,63.161,68.208,74.947,83.133,100,110.412,121.483
LUX,Luxembourg,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.796,26.616,27.898,30.437,35.079,39.322,42.201,43.393,44.844,47.619,62.381,64.417,70.76,75.2,79.76,83.299,88.762,90.428,92.968,97.079,100,104.329,108.417
MAR,Morocco,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.415,19.044,18.842,18.744,18.769,21.867,22.492,23.387,24.299,25.716,30.335,31.551,33.225,37.859,40.59,43.677,50.423,55.315,59.317,63.656,69.13,74.957,82.63,85.934,90.536,93.997,100,106.996,112.434
MDG,Madagascar,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,4.651,4.81,4.987,5.067,5.289,5.663,5.703,5.762,5.985,6.403,6.735,7.078,7.871,9.551,9.831,10.881,11.735,12.528,13.952,16.044,20.087,25.832,31.413,42.661,47.108,53.78,66.159,80.167,89.762,100,113.967,128.208
MLT,Malta,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,42.009,43.961,44.601,44.312,44.298,44.398,44.72,45.292,46.013,49.733,51.055,51.403,50.763,52.402,54.172,57.084,59.934,62.893,65.52,69.57,78.194,84.279,87.173,86.912,86.759,87.306,90.379,93.136,94.871,96.894,100,103.318,107.025
MUS,Mauritius,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,11.428,11.45,6.9,11.488,11.197,11.961,11.833,6.857,6.609,6.76,7.621,7.057,7.134,7.309,7.47,7.972,8.138,8.303,8.803,10.05,11.622,18.685,19.6,20.181,25.117,27.817,32.806,41.523,46.034,50.115,54.343,58.356,63.187,68.257,74.15,81.897,90.895,100,107.651,113.22
MWI,Malawi,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.431,11.362,11.733,11.075,12.27,12.504,13.466,14.761,14.723,13.283,15.675,17.049,18.543,21.141,21.467,22.429,26.175,30.451,33.274,37.091,42.196,46.015,51.431,59.902,75.743,89.424,100,115.118,137.079
NIC,Nicaragua,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,3E-07,3E-07,3E-07,3E-07,4E-07,4E-07,4E-07,4E-07,4E-07,4E-07,4E-07,4E-07,4E-07,5E-07,6E-07,7E-07,7E-07,8E-07,8E-07,1.1E-06,1.6E-06,1.7E-06,2E-06,2.2E-06,3.1E-06,8.3E-06,3.19E-05,0.0001944,0.026651,1.403,100,3123.883,3849.574
NLD,Netherlands,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,19.572,22.09,23.94,22.57,24.21,25.102,26.615,28.675,28.86,28.006,27.985,28.326,28.599,30.056,31.555,32.645,34.237,35.15,35.507,37.898,40.252,44.534,48.901,52.711,56.302,62.934,68.229,67.573,71.847,76.127,82.217,87.549,91.084,92.646,94.5,92.956,93.547,94.337,95.424,98.343,100,101.821,103.364
NOR,Norway,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,10.653,12.744,13.51,13.632,13.955,14.208,14.98,15.746,16.212,15.489,17.712,16.618,17.42,17.712,18.233,19.117,19.193,20.136,20.813,22.012,24.419,24.843,26.701,28.56,32.936,36.792,40.972,44.521,47.037,50.428,56.244,60.883,65.787,69.848,72.09,77.188,82.183,90.961,94.298,97.205,100,100.848,103.131
NZL,"New Zealand",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,10.549,10.695,10.722,10.748,11.07,11.382,11.462,12.057,13.538,13.955,15.57,17.092,18.086,18.799,21.678,27.6,32.741,36.816,42.372,46.069,54.644,62.853,69.256,72.031,79.148,88.713,97.087,99.082,98.001,99.693,100,99.301,99.085
