COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
GRC,Greece,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,36329411764.7058,31051024858.2642,30343116990.4919,22798102981.0298,22580645161.2903,25971261309.207,35353535353.5353,42875157629.2559,53191489361.7021,53233963268.5653,52028578719.0609,65919510952.6235,81872605363.9846,82293621013.1332,105981350921.082,131198910081.743,130952917323.721,119732514799.386,144538526672.311,160144777662.874,215862068965.517,256044185077.115,317679663608.562,330736206074.097,331042866282.789,304872979214.78,297780396778.628,278800301179.62,245709442757.256,294774910311.306,316089957048.405,290057911148.908,273418435714.789,256867241922.999,245914350184.838,224640458277.023,274191016563.925,276335361730.899,307716307242.441,323019857456.631,339447000000,296763433704.874,291066934324.065
GTM,Guatemala,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,360268674.944026,402530603.84734,429946845.852973,463635459.158292,589519650.655022,716051926.643313,728559533.721898,957910014.513788,1155216284.98727,1219975980.78462,1214258482.65345,1252051356.30852,1371954202.95527,1505982905.9829,1702504987.80758,1764321640.86485,2478907897.82048,2225799959.75045,2582983594.04807,2484739361.46853,2211622894.54777,2105630953.6945,2060183563.3714,1322504274.62843,1395106550.90765,1760686941.72692,1642329593.5051,2072595660.26901,2336559290.60108,2493290429.55302,2464200000,2287297636.68218,2999357561.77423
HND,Honduras,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
IDN,Indonesia,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,570469798657.718,726063829787.234,1378772112382.93,815068493150.684,934241115908.336,1169383416017,1042311661506.7,1041143431206.9,2452424067824.51,1835226578722.36,1045957328643.49,1192383726979.5,1974854932301.74,2035480859010.27,1977635933064.63,3025880811269.61,2302445417448.54,2316552681647.55,3445887032237.25,7128129602356.4,8332757000000,10982234566992.8,.
IND,India,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,14655257204.6818,13249451911.1619,15550239234.4497,16822248152.4698,23283389026.6249,34048609590.5408,35606869118.0751,32118707738.5424,35200434349.8325,44897239128.5172,33166934596.8356,43777464555.1778,47554671968.1908,50720376359.8941,60197724810.4008,69138276553.1062,61303316227.9975,51198699715.5627,56515693285.6575,57851239669.4214,54625425652.6674,65198831723.2082,63907338409.2013,78780395788.3184,106611813106.082,86252163016.8864,90007606276.5867,116217009580.231,109462835727.67,111820081331.865,136527500855.94,134995700773.86,160817065464.296,163362748187.834,178430738476.011,170935532884.74,193708609271.523,201611862557.629,217497529671.093,233050000000,234141934318.11,.
IRL,Ireland,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,123829008.291159,141851314.972043,128934395.145999,113281250,117530864.19753,120203865.756322,106305651.462838,103622431.208638,106574989.256553,108318890.814558,147023762.218866,180283851.169927,223525917.12461,218277066.356228,216643741.403026,244876231.0354,250548882.861939,256666458.502466,301070068.315095,350332844.409342,359266350.901945,385413305.057397,420539699.439007,426962142.197599,416452286.55307,492971989.078774,528334675.539354,504736449.753632,637495099.960799,729247256.368377,706941966.182343,632517893.387458,932928170.718293,775462663.388119,798160073.597056,762395091.332252,751925438.747518,706765735.835503,774386735.150572,911594936.70886,948800000,754868248.203384,753254156.769596
IRN,Iran,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276170436612.309,320954907161.803,470244420828.905,663292488012.786,843471208434.712,971997845988.153,992531920019.272,1006063328093.42,1095890410958.9,883233532934.131,1810283867057.27,1877192982456.14,1847738139021.69,1152309945413.39,602106587014.62,467071461933.676,334254237866.23,357206644043.579,501166737378.022,520268805549.534,342678411260.09,317066726286.051,325835262983.791,384582755987.897,422050978067.575,624000000000,.,.
IRQ,Iraq,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,180904522.613065,253867512.891709,406298600.311042,428964974.41952,515660809.778456,510835913.312693,682414698.162729,567700389.764446,620874219.446922,705861644.076747,710108604.845447,686491616.577032,618315918.869084,898920254.975933,859385855.217452,1499938019.09012,1454077152.72493,1547545059.04288,1527563608.3269,2324581676.98992,1477788995.45684,1837336001.77896,1566975210.12873,1600386045.58744,716252753.855397,557791122.392125,520528264.353207,253736300.232481,223124952.982772,1324294932.21199,1014100000,960601796.731248,.
ISL,Iceland,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,1471428571.42857,1625000000,1436538461.53846,2596226415.09434,1733333333.33333,1844827586.20689,2196969696.96969,2718309859.15493,3189873417.72151,2388235294.11764,2299065420.56074,2075000000,3159090909.0909,3847826086.95652,3836601307.18954,3755813953.48837,5010695187.16577,5557894736.8421,6471365638.76652,6787671232.87671,4899082568.80733,6761363636.36363,8233766233.76623,5814393939.39393,6245006657.78961,6181818181.81818,5367697594.50171,7390109890.10989,9554140127.38853,10382231404.9586,8741534099.85824,8321921415.78005,7778598777.45684,6888434376.56774,9093856378.66753,10324630199.5433,9729434823.90026,9913920528.64968,9058130331.54516,8279049244.66738,7116000000,7568923718.77995,6240931531.35066
ISR,Israel,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,935666666.666666,1196666666.66666,1341666666.66666,958000000,727250000,572500000,1174250000,1677500000,2060000000,2118000000,2275000000,2285714285.71428,2170000000,3007692307.6923,2747058823.52941,2408333333.33333,3028947368.42105,2822388059.70149,2372000000,2466961651.9174,2996209150.32679,3247773703.50969,3388367324.91637,3927180455.56473,3580116133.08223,3780240311.82553,2975423984.21874,2988529694.31808,3394000000,4023565531.26166,4202876947.15659
ITA,Italy,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,30556267623686.2,36465883529117.7,42525155725922.3,44385026737967.9,33651452282157.6,25767120503962.6,27915831663326.6,30909447275578.2,33768227168073.6,36958092485549.1,40291623270346.6,41248266296809.9,40799684335130.8,48878114781824.3,52399333274848.6,40016185991759.8,39389256351610.3,38968600540652.9,36075802020766.4,38459067731962.9,49825220555013.9,43232184808144.1,39609453200549.6,36176367594890.4,38671869556128.5,35227403348787.3,36608825231837.8,40971712628713.4,45341266906466.7,49692168642671,49650000000000,.,.
JAM,Jamaica,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,277589708.869329,283643239.836117,345260514.75204,470097442.143727,450238379.022646,511358447.488584,382364394.993045,274979713.281038,480605896.672978,413982253.293896,426728788.621873,487415621.986499,508916900.09337,568192219.679633,565574126.329498,592455530.566346,572105053.720652,575321637.4269,621188398.357289,757121614.445034,553529074.215761,333154396.728016,308852969.024753,394897071.61496,359017602.517455,568483831.466279,491536193.363511,631702188.324185,589300520.18695,537175923.065834,543605509.099852,814164610.61555,606810335.22664,907232793.948323,882594000,763678302.855398,984494451.294697
JPN,Japan,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,1216666666666.66,1452598725562.44,1176202699345.86,1723687788958.39,3180592991913.74,3820137610233.55,3200641586468.35,4699758319390.22,7068507027985.31,8555316232621.89,6925621077160.14,7366246348934.95,7772742644572.2,6123906330416.88,7017221302935.59,10395910186772,12432380055923.1,15295848576427.5,16252490039840.6,14100658313867,13866089749308.5,16627565404254.4,14621371338499.9,10789948335422.3,10816867845846.1,7380009863115.94,6531948922342.66,7358793721418.86,8543241965973.53,8930463613886.76,9309204997478.85,8980692505774.56,9964997191132.62,11895618131722,11562990067956,10175390918973.1,11553000718547.9,13801140894313.9,14800000000000,17751885524857.5,16021928808586.2
KEN,Kenya,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,586599241.466498,679477325.134512,732633863.965267,1301151519.09439,1572266254.26896,1184943946.89046,1577825159.91471,2152555212.40021,3197595281.30671,3325673699.60309,2608088042.62381,2406287321.33913,3108871376.87286,3659975704.28645,4848537503.62004,4818332743.65185,3814223368.37929,4069117779.58006,2637315077.11677,3930619568.65918,3044811396.08419,3001592826.38192,4376627604.16666,4422282559.74057,5186915333.81549,5556041648.43818,7260000000,6131999354.52638,4969698858.05979
KOR,"South Korea",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,95588235294.1176,161048689138.576,275510204081.632,354131534569.983,324512534818.941,348656294200.848,331950207468.879,330018645121.193,385839736553.238,463855421686.747,541205850874.063,548927982407.916,820771820771.82,1494224235560.58,1385140405616.22,1653413856735.44,1665984804208.06,1594382999875.73,1576586433260.39,1512305091114.03,2441870086884.56,2722335803731.15,2749936660755,3099327232459.98,3401481692548.79,4636086514733.63,7299677348924.09,5464352720450.28,4786371915050.04,4929478358769.07,5020347927194.66,6660933872216.01,7897464421863.76,9793347689593.44,13050481095836.2,14273394452933.2,15575498450242.9,17522800000000,18109332994259.9,.
LKA,"Sri Lanka",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1760670731.70731,2508930447.57301,2609194015.44401,4661874481.61459,3988726473.67918,7343352417.3028,3793103448.27586,4451186271.95373,3522413513.07455,2107839000.92819,2672773946.74586,2400215322.74663,3675521932.91109,2672555272.39249,3015649621.69054,4774000000,.,.
LUX,Luxembourg,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15538324907.7742,19213850311.0664,17765181209.6725,17361404695.4708,12905423489.6226,11399489994.3812,10020255215.718,12269878765.3983,11608689104.736,12699738717.7618,12432355228.2862,12842863442.5988,10107195515.5878,9851086765.77502,9241359460.82076,10623765826.4606,14432839500.6387,14007879773.4292,11433006798.3512,10611636513.1578,12245000000,12675556408.2885,.
MAR,Morocco,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MDG,Madagascar,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42263001717.9447,122718634001.484,43371008759.5365,60963028840.0457,193816354308.449,138454887600.447,92891278375.1493,184334895611.418,39597701149.4252,20156250000,17097357267.5143,30828396475.3323,33916073087.6432,22821761691.0196,53974590375.2842,20510528997.1979,426738564.522127,17771429435.1486,22118702209.1384,22703371137.0067,5129600000,10290698184.5621,.
MLT,Malta,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7544286.48985583,9632748.99618059,7600723.69316966,7093749.38439414,8402351.05530323,8788673.11526249,13436339.4296125,11687856.6423065,18965544.655208,16713980.4639804,27218628.7192755,29021408.2921963,33335706.4037304,28543241.6000367,26809876.6568483,30311552.6919397,35023938.7900029,26134389.6259086,30961175.0558323,36774145.9455471,45149338.4523293,33707000,.,.
MUS,Mauritius,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,175008750.437521,113537117.90393,246376811.594202,130571030.640668,178619273.019558,242454644.260513,236626383.841798,408341840.455009,363141171.130276,295857988.16568,275554389.18777,467620802.040527,238295486.403139,150499384.3207,174029451.137884,175614651.279478,147456377.488326,192701433.216909,318073384.073611,368159203.980099,679745310.617793,995450896.440995,1489795918.36734,1610425647.88662,1078950511.60568,963439623.251968,902273974.272999,671916769.019579,656036842.333927,628554325.052379,620135067.994037,861950784.837891,1171126972.32025,1567604787.78733,1968981793.66149,2289461152.42316,2343363221.2993,2070000000,2117955244.26154,1678148736.97226
MWI,Malawi,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6165689.79091943,7922900.89772927,33312878.2067672,32325056.4334085,43162184.189079,48240563.0198336,40539135.6007723,43208454.7117404,76920464.5792297,95610931.2655273,95055821.3716108,91500967.7986978,95993097.1255999,72844236.3180549,85712954.7677831,62419189.4422399,31327602.6743075,63380512.9552395,51391476.8287551,92744870.723356,42658071.8551521,86058893.8389655,77190799.3233653,.,.,.,.,.,.
NIC,Nicaragua,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,38200000000000,43233333333333.3,61466666666666.6,68466666666666.6,63600000000000,75750000000000,85625000000000,96775000000000,83675000000000,108225000000000,100475000000000,99100000000000,84600000000000,102280000000000,140450000000000,140700000000000,128842857142857,172675000000000,111375000000000,52790909090909.1,49531250000000,112941176470588,101500000000000,111363636363636,95483870967741.9,93132530120481.9,80877742946708.4,79614197530864.2,56575738246219.6,44406486101211.6,35593548000000,40019316408457,44412857084965.7
NLD,Netherlands,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,4117855875.04437,4621844588.25273,5041648817.17359,5239192062.36711,5408851902.45518,5802158565.28442,6568801286.54488,8917611673.37316,10409085456.0722,11052081154.5701,10653834631.5158,12188052315.3057,11780608968.9432,13544548086.2013,13728337384.3871,13982998262.5961,14362809796.1577,19353346215.6056,20483664753.4071,17019283316.4181,15807028568.6663,18294218660.5609,13653190631.5287,12124192427.0428,13932180976.6695,15217936796.115,15647442271.5722,15381649961.4495,13868120206.4541,13107655056.8076,13476098020.5185,15822713176.5398,16094692335.7585,17541334078.1882,17461056060.2375,16274283576.0391,16401975994.121,17515000000,16425927553.6413,14363598238.6244
NOR,Norway,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,7966368891.22438,7511559875.43644,8901436519.13975,9105717543.57387,9825499135.35607,7969491789.2443,8340888485.94741,8880199075.71987,8134519477.01846,7324651285.78039,8703385672.22767,10742947470.8171,11762246117.0848,11332429724.7922,11690974052.5976,12351124834.5831,14472217799.7134,15957667565.885,12219267139.4799,11473733147.3733,14278145695.3642,15767878077.3739,13552441547.2891,13940245525.8097,18311533888.2283,18650960594.587,17377223388.9127,20079604721.3834,17788912579.9573,15195042076.027,17237364483.1271,18844177487.6744,13994774054.7187,11979053338.5554,13185023648.3616,15590417914.334,19793089986.3361,22240510803.7647,18837995313.8283,13433313977.9348,14234000000,13013161162.1554,11875390412.477
NZL,"New Zealand",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,709713435.057685,838934056.007226,1242136707.08135,1234950270.4589,911918387.658621,972964987.442753,1428018631.31494,1125240847.7842,1310554645.44816,1437576025.6552,1521357519.01696,1706799520.25094,1307971014.49275,1456888916.03799,1053889613.21164,1087982630.0387,1187349410.6666,1341409852.86582,2076273208.91604,3209830195.21774,3052852244.17264,2713903067.67069,2653500614.34062,1958037636.34678,1650148361.96281,1370394179.65122,1500606863.06962,.,.,.
PAK,Pakistan,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10132527020.072,9214827607.47548,7818085916.89621,6235514843.83622,6709967047.13692,9525622477.72786,15347309616.6242,18180071897.039,20787322349.39,21099499388.6543,21868709824.0374,18628696169.8749,18336763803.1271,19727936078.1853,22369101942.8894,19852131508.5732,23099543179.1449,22201324503.3112,24841918519.9265,29997337685.6385,33926537736.9535,38898000000,51597923098.0159,47693988544.2524
PER,Peru,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,148000000,149056603.773584,142105263.157894,215151515.151515,324000000,305555555.555555,266393442.62295,269047619.047619,231578947.368421,259082217.973231,266899766.899766,290502793.296089,283411115.825201,224763081.994231,219086154.149807,202421699.606197,245623275.11745,238827514.093471,292121977.543341,215139064.475347,231772400,186441449.853315,.
PHL,Philippines,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,2164503344.06737,3102655502.39234,4037558685.44601,3835348195.81705,5244977119.19808,8069809725.15856,8552761829.34072,6211734693.87755,7139867457.27241,7588866532.5285,9570747217.80604,12475451263.5379,9581181870.33849,11193212917.3508,15956687291.7658,12464580249.5242,17643564356.4356,12258930068.7573,13638400000,19471849707.5677,13666612562.8956,15242796695.547,20768556534.5758,23932102966.4918,26597984659.3472,24647675158.1695,20460074523.4502,18756571675.0694,12336257978.3025,7968371648.08227,12914325536.8265,13296507387.6988,19052780686.0873,16890349985.3137,.,.,.
POL,Poland,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16129411764705.8,16005865102639.2,19425219941348.9,27460641399416.9,35953623188405.8,44796610169491.5,50991935483870.9,48467780429594.2,47602836879432.6,43590413943355.1,35200863930885.5,27838983050847.4,21296680497925.3,14222222222222.2,15497847919655.6,18763109191856.8,21335925349922.2,23059569074778.2,25610186092066.6,28152929493545.1,31074153393120,28217500000000,122630039011703,120735590701624
PRT,Portugal,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,16726403823.178,15736593632.7321,14494504167.1699,16470846601.5153,18480269594.5211,24213075060.5326,27176867050.7663,45244048266.1158,45283018867.9245,42274932614.5552,41555489672.8925,45696215041.0119,55924498468.2281,66672816160.8707,63728004244.4071,59640256959.3147,61542059717.7828,71307213474.9176,80013942140.1185,90283799763.5002,95316787972.7956,108332488081.955,99305436460.2984,94475540386.8032,112223462763.098,133048314216.197,178022678858.865,192450952056.068,218671689473.261,281525022674.347,239911541271,178046340793.377,157428400131.947,192559157634.393,228927296387.822,260026594011.369,290293910133.194,.,.,.
SLV,"El Salvador",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,346562005.59815,247800768.182381,437445319.335083,426338514.680483,734124556.466413,867878714.665378,806845965.770171,992685321.551301,669598236.158745,711647761.922185,786864456.079115,834176040.82106,1229466437.17728,1147147773.49045,1450403150.19688,2118016211.97594,2184900426.74253,1590139322.60389,1857591997.14183,1333042204.9056,727548526.903038,610500610.50061,504128294.696729,526538978.019648,588568550.925343,574382538.770821,922097963.382804,783612638.05116,749637457.464068,698992288.171089,811000000,1045822915.00416,1271574885.20532
SWE,Sweden,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,17702429149.7975,18049812481.9694,17681347150.259,21014426169.2548,22839053037.2545,24841014367.5904,30258358662.6139,30707629586.488,30476458979.4192,27840909090.909,30658767467.3192,33602614701.5293,33748361730.0131,32706459525.7563,33804105437.7037,33216800932.2592,32277952901.9098,34093772498.2001,38228605121.2938,43579164517.7926,44736580021.9101,44065693861.8774,35348431133.9224,28604707012.4879,29180932314.9855,34390139084.2319,31510667953.254,27517828614.7207,28843127557.2141,33107780848.4572,42294042237.3659,42495948136.1426,47411045379.5686,48376285681.2666,52422260347.4158,47239000000,36454223232.7961,29620539192.7692
SYR,Syria,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2057547018.16428,2205323193.91635,2511238567.66392,2572822711.81428,2784878245.66124,3298677961.75073,3853358308.80385,2893809763.4625,4069903823.5984,5508893280.63241,5303793219.20107,11971713810.3161,18334374024.3521,24336001133.2247,30676297622.0915,22712897475.7058,21745159213.5888,15061967793.6093,15652549386.492,16665495432.1855,15296872386.6867,10050878671.536,11190740352.0345,8008925180.40258,8612530759.03842,10443280155.4129,8212606506.12186,8643000000,10069993654.1612,15884508488.3782
TTO,"Trinidad & Tobago",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761118752.865658,410913872.452334,518108651.911468,339204831.404126,1200474261.43661,1259266123.05411,1330998248.68651,917285989.540325,1007470837.5202,1145442429.76887,667359464.813431,1125469184.26406,2043548297.50597,964099594.672843,1835716359.41355,1274835009.15656,1040491818.43394,504148693.77051,801826878.90171,456486349.443569,857644753.732856,851587465.209772,391490308.544303,601011672.255061,340000000,.,.
TUN,Tunisia,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,46284051.838138,47616024.3794044,132371392.72271,148383077.532989,56323890.2520633,69206008.583691,59783486.8314752,82927334.9227739,88179926.6818587,93457943.9252336,117330168.005843,124053826.745164,165951262.378747,268138801.261829,292231156.722255,356939055.010271,446237135.506003,402524884.680747,288173894.329064,417278417.432965,482098251.457119,552077144.554636,517082310.19261,371172830.311319,380902344.519603,336856091.829578,301247165.532879,406038246.456018,430500000,437385757.451412,419321992.240304
TUR,Turkey,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2278350515463.91,1901010101010.1,1716504854368.93,2160909090909.09,2744444444444.44,3425409836065.57,4135156250000,4535664335664.33,4523809523809.52,5983163265306.12,6523849372384.93,7604590163934.42,9293802816901.41,9102147971360.38,9483524904214.56,8244325767690.25,8546316614420.06,9027459333849.73,8925477359519.91,8260123351765.2,8275520317145.69,8405220084052.2,9035728006146.75,10420923579893.7,9319814110688.63,9273252865402.17,7980119161547.25,11266000000000,11149056603773.5,11274230769230.7
TWN,"Taiwan, China",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,4330381848.36746,4124836316.0192,5456807678.63491,7043991889.27091,5549371919.22404,8794427293.59613,10218765898.6844,11231784437.7234,11252545824.8472,13527482910.0205,13693057116.8567,13134686635.7042,15176558978.2118,21947847642.6562,27196172248.8038,32971431200.2576,44364066815.7306,51509900990.099,54603100955.0323,66182797710.352,68616293308.3627,83423349977.9204,102959612086.807,133392877079.379,157495536403.112,151426776928.713,122348670656.332,113180642777.983,150625319250.605,195645542143.936,195384411803.625,148482822339.468,139347938996.175,174217024343.742,147750361153.828,190705544578.234,230389219902.059,248588287136.055,251839844890.13,247519000000,255031334189.511,270235475867.234
TZA,Tanzania,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
URY,Uruguay,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
USA,"United States",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,46507729558.577,62196240256.7629,64957837717.0938,65435762171.6672,60565157750.3429,61082928392.161,74976184507.3953,76556653554.6387,45109468296.8439,42383275261.324,44629302736.0988,43310888632.9405,46050308914.3865,49691085613.4157,57553015097.3034,70795323140.1773,83061418363.5537,85687985271.7521,78487703976.0974,78450106157.1125,79398325717.9068,70721727361.4302,77588175208.7964,78978400136.0621,94845151806.9846,86547932267.4222,89173594341.0339,95089860701.0521,105445185614.849,111276504250.603,106707464369.111,113442935313.66,103404664750.069,82698781799.882,98318358772.9613,109397145256.087,93972656548.3529,102405387725.337,102088340877.165,123054869307.957,128181000000,125853648793.056,122297031302.048
VEN,Venezuela,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42077992909.7354,31086657496.5612,42155561454.7385,57612758534.762,71845124282.9828,62665245202.5586,42488193624.5572,60279678667.0633,100028292544.914,115062213490.504,168379544054.22,96057311248.8568,71544847794.2373,58776307224.9945,97041209182.9459,71315789473.6842,34241875536.0716,37623373220.3685,64618644067.7966,52073644032.4598,115162407167.587,103578965502.39,73893000000,78709757101.6879,87968942934.9056
ZAF,"South Africa",MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,2741812642.80274,2933433621.66227,3140186915.88785,4739507959.47901,6759160441.12415,7603248660.79143,7541853141.05751,6560762509.92851,6038831982.87723,6201991465.14936,8123632385.12035,8709135547.22832,9172389710.1618,9672340844.2389,10316788073.8607,11265124827.6918,10884070058.3819,11073510058.2816,12307001291.3368,13736183473.7303,17044156458.0297,16700130332.1709,15299801783.9445,14320511791.0008,11959782113.1188,9079085898.30928,7534915085.80149,7465399133.23081,8837855706.82606,11746766100.4465,14025000000,12028412045.1561,10124013704.724
ZWE,Zimbabwe,MfgSEInv,"Manufacturing Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,83886071.0105345,98484848.4848484,110949436.158603,152364273.204903,215235996.949411,175644028.103044,189945963.648272,167168171.180207,106480326.095998,98824331.2318964,109149277.688603,107837774.478393,124198392.726682,141242937.853107,268086098.375942,253641943.355764,258786209.199432,299306868.304978,307047105.519359,507506872.488898,663661407.46306,656767561.393489,406869220.607661,236989746.566067,192307692.307692,189566272.36882,422883861.651653,603603603.603603,441675210.978783,422591011.137034,359291621.489465,339615896.407221,518573394.009948,650914534.921564,683548448.7134,1024866631.18416,.,.,.
ARG,Argentina,TotSEInv,"Economy-Wide Fixed Investment, 1990 Local Currency",5352376000,4497574000,4392367000,6478961000,5505802000,5904709000,5602241000,6286083000,5917860000,6663072000,7303078000,6478961000,9538714000,10459270000,9617619000,7886097000,9937621000,10656532000,9893785000,10336529000,11436813000,13887245000,14908624000,16517405000,16578775000,15833563000,16118497000,16447267000,17446728000,20743196000,17600154000,19029208000,20515248000,15785344000,13369980000,12212710000,10003375000,11959401000,12741637000,14637276000,13689988000,10686156000,9647360000,10986399000,13621689000
AUS,Australia,TotSEInv,"Economy-Wide Fixed Investment, 1990 Local Currency",.,.,15318197000,18988960000,20502099000,18419198000,19931796000,21331212000,22161374000,22303687000,23347320000,24406765000,29650546000,30113344000,32137587000,34919954000,39502757000,41544126000,42295077000,44436193000,48422572000,50303385000,53128206000,55130315000,54599429000,56135191000,55411401000,58630923000,60157014000,60251689000,64133856000,64124196000,71024957000,75850386000,68076528000,68659243000,74841334000,81269774000,82203295000,85886499000,93212437000,92338671000,81489000000,75140673000,77220230000
AUT,Austria,TotSEInv,"Economy-Wide Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,82766061000,103865873000,105617160000,119522857000,121378750000,133249714000,154221300000,173623814000,178354653000,184502719000,202191062000,215178212000,231448712000,228006361000,229965783000,238293736000,263353730000,298276762000,343600742000,340082291000,352181083000,329280264000,336315431000,361115333000,345801344000,357339714000,374044172000,368515955000,340454978000,335949286000,336252728000,351004142000,358331649000,369335689000,394318701000,419088683000,442392000000,469945290000,472157190000
BEL,Belgium,TotSEInv,"Economy-Wide Fixed Investment, 1990 Local Currency",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
